flightnumber,radiocallsign,origin,destination,deptime,arrtime,gate,aircraft,route,created_at,updated_at
KL1504,KLM92N,LEVC,EHAM,2019-09-29 17:15:00,2019-09-29 19:55:00,B16,E90,VLC UL34 CASIM UN608 GIROM UN863 AGN UL873 FOUCO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1644,KLM77R,LIRQ,EHAM,2019-09-29 17:40:00,2019-09-29 19:55:00,A4,E90,LOMED DCT IBTOK DCT RESIA UP131 ARGAX UY170 ROMIR UN851 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1450,KLM64W,EGPD,EHAM,2019-09-29 17:20:00,2019-09-29 19:55:00,A8,73W,RIMOL DCT SOVED DCT BABGU Q39 DANDI UL28 MCT M16 DOLAS L603 LAMSO,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY8879,EZY42WF,EGKK,EHAM,2019-09-29 17:20:00,2019-09-29 19:40:00,H1,319,CLN L620 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1990,KLM1990,LFSB,EHAM,2019-09-29 18:25:00,2019-09-29 19:55:00,A4,E75,GTQ UN852 DIK UM624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1576,KLM32E,LGAV,EHAM,2019-09-29 17:20:00,2019-09-29 19:55:00,D60,73H,RIMAX UL613 VJOSA DCT PAPIZ DCT AIOSA DCT XOLTA DCT LISKO DCT BUSER DCT TULIK DCT NIVAS DCT BRENO M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1432,KLM80L,EGBB,EHAM,2019-09-29 17:40:00,2019-09-29 19:55:00,D44,73H,UNGAP P155 SIVDA P137 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1204,KLM1204,ENZV,EHAM,2019-09-29 18:15:00,2019-09-29 19:55:00,A4,E90,RUMOG M185 ATNAK UM185 TIPAN N866 LARDI L74 TOPPA,2019-09-04 13:31:36,2019-09-04 13:31:36
OS376,AUA376,EHAM,LOWW,2019-09-29 20:00:00,2019-09-29 21:50:00,B31,320,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 BUDEX,2019-09-04 13:31:36,2019-09-04 13:31:36
JP499,ADR499,EHAM,LJLJ,2019-09-29 20:00:00,2019-09-29 21:45:00,C6,CR9,EDUPO UZ738 MISGO UZ741 GMH UL603 UNKEN DCT LUMUS,2019-09-04 13:31:36,2019-09-04 13:31:36
BE112,BEE9LB,EHAM,EGBB,2019-09-29 20:00:00,2019-09-29 20:20:00,D24,E75,IDRID UM40 RINIS M40 SABER L980 LAM UL10 BUZAD,2019-09-04 13:31:36,2019-09-04 13:31:36
EK149,UAE149,OMDB,EHAM,2019-09-29 14:45:00,2019-09-29 20:00:00,G9,388,DAVMO M318 RADEB M317 PARAS UL124 BONAM UT366 VAN UA4 ERZ UL851 KUGOS L851 DEGET DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1244,KLM20P,LFPG,EHAM,2019-09-29 18:35:00,2019-09-29 20:00:00,C16,73H,NURMO UN874 VEKIN UN873 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1510,KLM1510,LEAL,EHAM,2019-09-29 19:33:29,2019-09-29 19:33:29,D87,738,SOPET UN608 GIROM UN863 AGN UL873 FOUCO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1290,KLM67D,EGPH,EHAM,2019-09-29 17:25:00,2019-09-29 19:55:00,D16,73H,TLA N97 ROKAN M982 TOPPA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1604,KLM78Q,LIRF,EHAM,2019-09-29 17:25:00,2019-09-29 20:00:00,D83,73H,SOVAN DCT PETAS DCT IBUGO DCT UNIMI L12 MOGTI P66 KPT L608 TEDGO UN851 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
